ENTRYSTART|reference:18a548275ba78ea2b39602bf252e6074|from_date:18660207|to_date:18660207|entrytype:class|source:BT 43/296/195006
27|class|Aa{*}|Aa{4}|B-FLD
28|10|9{*}|9{2}|I-FLD
29|:|:|:|I-FLD
30|printed|a{*}|a{7}|
31|fabrics|a{*}|a{7}|
ENTRYSTART|reference:c32a541282c1b93a338fb9128fae8e77|from_date:18660724|to_date:18660724|entrytype:class|source:BT 43/19/199290
28|class|Aa{*}|Aa{4}|B-FLD
29|1|9|9|I-FLD
30|:|:|:|I-FLD
31|metal|a{*}|a{5}|
ENTRYSTART|reference:f06084847238d351baa7abe44413d06b|from_date:18660717|to_date:18660717|entrytype:class|source:BT 43/427/199067
36|class|Aa{*}|Aa{4}|B-FLD
37|13|9{*}|9{2}|I-FLD
38|:|:|:|I-FLD
39|lace|Aa{*}|Aa{3}|
40|or|a{*}|a{2}|
41|miscellanea|Aa{*}|Aa{10}|
ENTRYSTART|reference:c33e68d6c03a63fc6fe6300b71681f51|from_date:18660908|to_date:18660908|entrytype:class|source:BT 43/138/200798
28|class|Aa{*}|Aa{4}|B-FLD
29|6|9|9|I-FLD
30|:|:|:|I-FLD
31|carpets|Aa{*}|Aa{6}|
32|and|a{*}|a{3}|
33|floor|a{*}|a{5}|
34|coverings|a{*}|a{9}|
ENTRYSTART|reference:d3e3e28ce3000d5e0b5e43bbd2f12be9|from_date:18660920|to_date:18660920|entrytype:class|source:BT 43/68/201495
27|class|Aa{*}|Aa{4}|B-FLD
28|4|9|9|I-FLD
29|:|:|:|I-FLD
30|earthenware|a{*}|a{11}|
ENTRYSTART|reference:398b22157b9375f92a153f32ae21f478|from_date:18660724|to_date:18660724|entrytype:class|source:BT 43/364/199266
29|class|Aa{*}|Aa{4}|B-FLD
30|11|9{*}|9{2}|I-FLD
31|:|:|:|I-FLD
32|furnitures|Aa{*}|Aa{9}|
33|fabric|a{*}|a{6}|
ENTRYSTART|reference:68797d1e355163e73a20f687563340bd|from_date:18660227|to_date:18660227|entrytype:class|source:BT 43/397/195495
28|class|Aa{*}|Aa{4}|B-FLD
29|12|9{*}|9{2}|I-FLD
30|i|a|a|I-FLD
31|:|:|:|I-FLD
32|other|a{*}|a{5}|
33|fabrics|a{*}|a{7}|
